-nan 	 -nan 	 0
0.01185 	 12366.89367 	 6
-nan 	 -nan 	 0
0.01451 	 5531.89212 	 4
0.01676 	 5367.81676 	 3
-nan 	 -nan 	 0
0.01963 	 13237.62743 	 24
-nan 	 -nan 	 0
0.02472 	 8148.71033 	 21
0.02714 	 6989.23492 	 24
0.03077 	 8064.73875 	 40
0.03443 	 7286.76740 	 27
0.03711 	 6255.00034 	 66
0.04174 	 6085.09860 	 75
0.04520 	 6053.27947 	 82
0.05019 	 4566.84551 	 147
0.05565 	 4987.39059 	 187
0.06211 	 4484.92181 	 294
0.06944 	 4165.04223 	 385
0.07714 	 3575.48267 	 507
0.08553 	 3192.37156 	 673
0.09488 	 2803.27070 	 969
0.10565 	 2481.56426 	 1348
0.11715 	 2370.86575 	 1717
0.12969 	 2079.06982 	 2368
0.14412 	 1847.82585 	 3448
0.15997 	 1657.09580 	 4402
0.17752 	 1520.46796 	 6328
0.19709 	 1375.12563 	 8390
0.21872 	 1267.84038 	 11665
0.24287 	 1194.65635 	 15929
0.26967 	 1086.62432 	 21833
0.29931 	 1019.90872 	 29606
0.33221 	 957.18783 	 40758
0.36886 	 899.68208 	 55829
0.40954 	 858.70591 	 76371
0.45460 	 826.31306 	 104043
0.50466 	 792.53944 	 142981
0.56034 	 765.38720 	 195667
0.62202 	 741.73011 	 266753
0.69051 	 726.24362 	 365923
0.76661 	 710.30714 	 500550
0.85104 	 698.96013 	 684138
0.94476 	 691.91785 	 936652
1.04830 	 686.39571 	 1266058
1.16047 	 681.50681 	 1349270
1.28664 	 677.47036 	 1185287
1.42308 	 676.97594 	 810329
1.57010 	 675.13386 	 288148
1.71870 	 673.03400 	 42175
